Item Number,Product Line,Category,SubClass,Item Description,Price,Cost,Tangible?,Serial?,Tax?
1113825909,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER PURPLE,4,19.99,True,False,True
1111825910,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID GOLD,4,19.99,True,False,True
1112825910,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING GOLD,4,19.99,True,False,True
1113825910,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER GOLD,4,19.99,True,False,True
1111825911,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID SILVER,4,19.99,True,False,True
1112825911,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING SILVER,4,19.99,True,False,True
1113825911,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER SILVER,4,19.99,True,False,True
1111825912,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID ROSE GOLD,4,19.99,True,False,True
1112825912,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING ROSE GOLD,4,19.99,True,False,True
1113825912,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER ROSE GOLD,4,19.99,True,False,True
1111825913,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID ORANGE,4,19.99,True,False,True
1112825913,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING ORANGE,4,19.99,True,False,True
1113825913,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER ORANGE,4,19.99,True,False,True
1114825901,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - DESIGN MISC DESIGN,4,19.99,True,False,True
